序号	PDF文件	类型	PDF行号	状态	对应说明	原题摘要
477	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	机械振动；答案页 p2	15. 由振幅、周期和初始状态写简谐振动方程 \(y=0.04\cos(\pi t-\pi/2)\)
478	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	机械波；答案页 p2	16. 由波程差或相位关系求相位差，答案 \(\pi\)
479	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	光的干涉；答案页 p2	17. 薄片插入干涉光路后条纹移动方向与附加光程差，答案“上”、\((n-1)e\)
480	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	光的干涉；答案页 p2	18. 双缝干涉条纹间距或条纹数计算，答案 100
481	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	薄膜干涉/牛顿环；答案页 p2；已有牛顿环换介质同类题	19. 牛顿环装置改变介质后由条纹变化求波长或折射率，答案 500
482	【包打听分享】2014级大物试卷.pdf	blank	1	重复/同类跳过	光的偏振；答案页 p2；已有布儒斯特角题	20. 由反射完全偏振和折射角关系求角度，答案 \(\pi/6\)
483	【包打听分享】2014级大物试卷.pdf	calculation	1	已写入	刚体力学；见“2014级期末：两小球同时粘到细杆两端后的停转时间”；答案页 p3	21. 两个等质小球同时粘到匀质细杆两端，求 \(\omega_0=6v/(7L)\) 和恒阻力矩下停转时间 \(2mvL/M\)
484	【包打听分享】2014级大物试卷.pdf	calculation	1	重复/同类跳过	机械波；答案页 p3；已有由波速、周期和相位关系写波函数题	22. 已知 \(u=\SI{2}{m/s}\)、\(T=\SI{2}{s}\)、\(P\) 点振动，求 \(O\) 点振动方程和波函数
485	【包打听分享】2014级大物试卷.pdf	calculation	1	已写入	光的衍射；见“2014级期末：由相邻主极大和缺级反推光栅参数”；答案页 p3	23. \(\lambda=\SI{600}{nm}\) 光栅相邻主极大在 \(\sin\theta=0.20,0.30\)，第四级缺级，求 \(d,a_{\min}\) 和 15 条明纹
486	【包打听分享】2014级大物试卷.pdf	calculation	1	已写入	热力学第一定律；见“2014级期末：刚性双原子气体三角形循环的温度、功和热量”；答案页 p2	24. 刚性双原子理想气体 \(abca\) 循环，求 \(T_b,T_c,A_{ab},Q_{bc},Q_{ca}\)
487	【包打听分享】2014级大物试卷.pdf	answer	2-3	答案校验使用	同一 PDF 后两页为答案及评分标准；不作为新题源单独录入	2014 A 卷答案及评分标准；选择题答案 C,D,C,A,B,B,A,D,B,D
488	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复/同类跳过	2015-2016 第二学期；质点运动学；无随卷答案页	1. 由 \(\vec r=at^2\vec i+bt^3\vec j\) 判断质点作一般曲线运动
489	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复/同类跳过	2015-2016 第二学期；功能关系；同类已多次出现	2. \(m=0.5kg,\ x=5t,\ y=0.5t^2\)，由 \(t=2s\) 到 \(4s\) 外力做功 \(\SI{3}{J}\)
490	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复跳过	2015-2016 第二学期；功能关系；已写入 2014 半球碗底支持力题	3. 半球容器中小球从边缘滑到底部，已知底部支持力 \(N\)，求摩擦力做功
491	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复跳过	2015-2016 第二学期；气体动理论；已写入 2014 方均根速率压强比	4. 同种气体数密度相同，\(v_{\rm rms}\) 比 \(1:2:4\)，求压强比 \(1:4:16\)
492	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复/同类跳过	2015-2016 第二学期；热力学第二定律；已有绝热自由膨胀熵增例题	5. 绝热容器半边真空半边理想气体，抽隔板后温度不变、熵增加
493	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	已写入	2015-2016 第二学期；热力学第一定律；本轮人工核对 page-1 图示，见“2015-2016期末：已知一路吸热时怎样求闭合路径吸热”	6. \(p\)-\(V\) 图中已知 \(acb\) 过程吸热 \(\SI{500}{J}\)，闭合 \(acbda\) 过程吸热 \(-\SI{700}{J}\)
494	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	已写入并复核	机械波；见“2015-2016期末：两列相向火车中的汽笛频率”；本轮人工核对 page-1 题面与选项 A，独立验算 \(600(340+18)/(340-18)\approx667Hz\)	7. 两列车均 \(64.8km/h\) 相向，\(\nu=\SI{600}{Hz}\)，听到 \(\SI{667}{Hz}\)
495	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复跳过	机械波；与 2005 两相干波源初相差题同题	8. \(S_1S_2=\lambda/4\)，\(S_1\) 相位超前 \(\pi/2\)，求 \(S_1\) 外侧相位差
496	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	1	重复/同类跳过	光的干涉；已有 MgF2 增透膜最小厚度和薄膜反射题	9. 玻璃表面 MgF2 薄膜使 \(\lambda=\SI{500}{nm}\) 反射尽可能小，求膜厚
497	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	2	重复/同类跳过	光的衍射；已有光栅缺级和可见级次数题	10. \(d=6\lambda,\ a=1.5\lambda\) 的光栅可见明纹数，缺 \(k=\pm4\)
498	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	质点运动学；已有抛体最高点曲率半径/加速度同类题	11. 斜抛运动最高点曲率半径表达式
499	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	三大守恒定律/冲量；已有变力冲量题	12. \(F=6t+3\) 作用 \(0\sim2s\)，求冲量大小
500	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	刚体力学；与子弹/质点打入杆端角动量守恒同类	13. 质量 \(m\) 子弹垂直射入匀质杆端并嵌入，求 \(\omega=3v/(2l)\)
501	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	气体动理论；已有 Maxwell 分布积分意义题	14. 用 \(f(v)\) 表示分子平均平动动能
502	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	机械振动；已有简谐振动总能量公式题	15. 轻弹簧振子固有周期 \(T\)、振幅 \(A\)，求振动能量
503	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	机械振动；已有同频同向简谐振动合成题	16. \(x_1=0.05\cos(\omega t+\pi/4)\)、\(x_2=0.05\cos(\omega t+3\pi/4)\) 合成
504	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复跳过	机械波；已有固定端反射波表达式题	17. 已知固定端 \(x=0\) 处反射波，反推驻波/入射波关系
505	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	光的干涉；已有双缝条纹间距题	18. \(D=\SI{300}{mm},d=\SI{0.2}{mm},\lambda=5\times10^{-4}mm\)，求第二级明纹间距
506	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复/同类跳过	光的干涉；已有牛顿环空气换液体反推折射率题	19. 牛顿环中空气换成液体，由第 \(k\) 暗环半径 \(r_1,r_2\) 求折射率
507	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	2	重复跳过	光的偏振；已有布儒斯特角题	20. 自然光入射玻璃，折射角 \(30^\circ\) 且反射光完全偏振，求 \(n=\sqrt3\)
508	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	2-3	已写入并复核	刚体力学；见“2015-2016期末：圆盘匀速提升重物后多久反向转动”；本轮人工核对 page-2 题干与 page-3 图示，独立验算 \(a=m_1g/(m_1+m/2)=5m/s^2,\ t=1s\)	21. 圆盘绕绳使 \(1kg\) 物体以 \(\SI{5}{m/s}\) 上升，撤力矩后 \(\SI{1}{s}\) 反向
509	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	3	重复/同类跳过	机械波；已有由周期、波速和某点状态写波函数题	22. \(u=\SI{2}{m/s},T=\SI{2}{s},A=\SI{0.06}{m}\)，由 \(x\) 点状态写平面波方程
510	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	3	已写入并复核	光的衍射；见“2015-2016期末：单缝暗纹与光栅主极大怎样分开算”；本轮人工核对原卷图像并复算，单缝用 \(a=10^{-4}m\)，光栅用 \(d=10^{-5}m\)	23. \(\lambda_1=400nm,\lambda_2=600nm\)，单缝暗纹距 \(\SI{1}{mm}\)，光栅主极大距 \(\SI{1}{cm}\)
511	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	3	已写入并复核	热力学第一定律；见“2015-2016期末：单原子气体沿抛物线回到初态的循环效率”；本轮人工核对原卷图像并独立验算，\(Q_{ab}=12RT_0,Q_{bc}=45RT_0,Q_{ca}=-143RT_0/3,\eta=28/171\)	24. 单原子气体 \(a(V_0,p_0)\to b(V_0,9p_0)\to c(3V_0,9p_0)\to a\)，沿 \(p=p_0V^2/V_0^2\) 返回，求热量和效率
512	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；质点运动学；无随卷答案页	1. 直线运动 \(y=8-2t\) 类题，给 \(t=3s\) 求坐标
513	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复跳过	2014-2015 第二学期；动量守恒；已有船人系统题	2. 人从小木船向前水平跳去，湖水静止无阻，求船速变化
514	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；万有引力/机械能；已有卫星动能与引力势能判断	3. 飞船由地心距离 \(R_1\) 降到 \(R_2\)，求引力场中动能增加量
515	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复跳过	2014-2015 第二学期；熵变；已有 2012 等温膨胀熵变题	4. \(1mol\) 双原子气体等温由 \(20L\) 到 \(40L\)，熵变 \(R\ln2\approx5.76J/K\)
516	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；热力学第二定律；已有卡诺循环面积与效率比较题	5. 两条绝热线下阴影面积 \(S_1,S_2\) 比较
517	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；机械振动；已有由振动图像判断周期题	6. 由简谐振动图像求周期
518	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；机械波；已有多普勒火车题	7. 机车以 \(30m/s\) 远离/接近静止观察者，求汽笛接收频率
519	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	4	重复/同类跳过	2014-2015 第二学期；机械波；已有相干波源初相差和波程差题	8. 两相干波源到 \(P\) 点路程不同，由相消条件反推 \(S_2\) 振动方程
520	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	5	重复/同类跳过	2014-2015 第二学期；光的干涉；已有劈尖条纹间距和液体改变题	9. 两微柱间液体劈尖，减小 \(L\) 时干涉条纹数目/间距变化
521	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	5	重复/同类跳过	2014-2015 第二学期；光的衍射；已有瑞利判据望远镜分辨率题	10. \(\lambda=\SI{550}{nm}\)、孔径 \(\SI{127}{cm}\) 大型望远镜最小角距离
522	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；刚体转动运动学	11. 飞轮边缘 \(s=0.1t^3\)、\(r=\SI{2}{m}\)，给线速求切向加速度
523	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；冲量与动量	12. \(10kg\) 物体受 \(F=30+40t\)，求前 \(2s\) 冲量和末动量
524	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复跳过	2014-2015 第二学期；气体动理论；与 2007 容器质量体积和方均根速率求压强同题	13. \(V=10^{-2}m^3,M=100g,v_{\rm rms}=300m/s\)，求压强
525	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；气体动理论；已有 Maxwell 分布积分意义题	14. 用 \(N,f(v)\) 表示速率大于 \(v_0\) 的分子数
526	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；机械振动；已有两振动图像合成/相位题	15. 由两条简谐振动曲线写合振动方程
527	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复跳过	2014-2015 第二学期；机械波；已有驻波方程判断相位差题	16. 驻波 \(y=A\cos2\pi x\cos100\pi t\)，求 \(x=1/8,3/8\) 两点相位差
528	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复跳过	2014-2015 第二学期；光的干涉；已有云母片覆盖双缝题	17. 双缝 \(S_1\) 覆厚度 \(e\)、折射率 \(n\) 云母片，中央明纹移动与光程差
529	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；薄膜干涉；已有透明薄膜反射/透射最小厚度同类	18. \(\lambda=\SI{600}{nm},n=1.5\) 透明薄膜透射最弱，求最小厚度
530	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复/同类跳过	2014-2015 第二学期；光的衍射；已有单缝中央明纹宽度题	19. \(a=\SI{1.0}{mm},f=\SI{2.0}{m}\)，中央明纹宽 \(\SI{2.0}{mm}\)，反推波长
531	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	5	重复跳过	2014-2015 第二学期；光的偏振；已有两偏振片马吕斯定律题	20. 自然光过两偏振片后 \(I=3I_0/8\)，求夹角 \(\pi/6\)
532	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	6	重复/同类跳过	2014-2015 第二学期；刚体力学；与 2014 两小球粘杆后停转时间同模型	21. 两小球同时粘到长 \(2L\) 匀质杆两端，求初角速度和恒阻力矩停转时间
533	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	6	重复/同类跳过	2014-2015 第二学期；机械波；已有由 \(A,T,\lambda,L\) 与点状态写波函数题	22. 平面波沿 \(+x\) 传播，给 \(A,T,\lambda,L\) 和 \(P\) 点状态，求波动方程
534	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	6	重复跳过	2014-2015 第二学期；光的衍射；同 2014 光栅相邻主极大和第四级缺级题	23. \(\lambda=\SI{600}{nm}\)，\(\sin\theta=0.2,0.3\) 相邻主极大，第四级缺级
535	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	6	重复跳过	2014-2015 第二学期；热力学第一定律；同 2014 刚性双原子三角形循环题	24. 刚性双原子气体 \(abca\) 循环，\(T_a=\SI{300}{K}\)，求 \(T_b,T_c,A,Q\)
536	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复跳过	2013-2014 第二学期 A 卷；与已处理 2013 A 卷同题	1. \(10kg\) 物体受 \(F=3+4t\)，前 \(2s\) 冲量大小
537	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复/同类跳过	2013-2014 第二学期 A 卷；已有滑块-木槽能量与动量题同类	2. 滑块从 \(1/4\) 圆弧木槽滑下，木槽可水平滑动，求离槽速度
538	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复/同类跳过	2013-2014 第二学期 A 卷；已有由振动图像写方程题	3. 由 \(x-t\) 图像选简谐振动方程
539	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复/同类跳过	2013-2014 第二学期 A 卷；已有多普勒火车题	4. 汽车以 \(\SI{25}{m/s}\) 远离鸣笛机车，求乘客听到频率
540	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复/同类跳过	2013-2014 第二学期 A 卷；已有双缝光程差与明暗判断题	5. 双缝中插玻璃纸使光程多 \(2.5\lambda\)，判断屏上原明纹
541	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复跳过	2013-2014 第二学期 A 卷；已有劈尖缺陷判断题	6. 劈尖干涉条纹弯曲判断工件表面凸凹与深度
542	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复跳过	2013-2014 第二学期 A 卷；已有半波带单缝题	7. 单缝波面分成 3 个半波带且衍射角 \(30^\circ\)，求缝宽 \(3\lambda\)
543	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复跳过	2013-2014 第二学期 A 卷；已有等压升温熵变例题	8. \(1mol\) 单原子气体等压从 \(\SI{300}{K}\) 到 \(\SI{400}{K}\)，熵变 \(\SI{5.98}{J/K}\)
544	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	7	重复/同类跳过	2013-2014 第二学期 A 卷；已有 \(p=(1/3)nm\overline{v^2}\) 与各向同性说明	9. 理想气体中单个方向平均平方速率 \(\overline{v_x^2}=kT/m\)
545	【包打听分享】2015-2016大学物理期末试卷.pdf	choice	8	重复跳过	2013-2014 第二学期 A 卷；已写入 2013 两个卡诺循环效率和净功比较	10. 两个卡诺循环 \(ABCDA\)、\(ABC'D'A\) 的效率和净功关系
546	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	11. 圆周运动 \(\theta=3+2t^2\)，求切向/法向加速度和角加速度
547	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	12. \(m=0.25kg,\ F=t\vec i,\ v_0=2\vec j\)，求位置矢量
548	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	13. \(x=t^3\) 前 \(2s\) 力做功 \(\SI{36}{J}\)
549	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复/同类跳过	2013-2014 第二学期 A 卷；与子弹穿杆角动量守恒同类	14. 子弹穿过细杆且末速减半，求杆角速度 \(3v/(2L)\)
550	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	15. 两同频同向简谐振动合振幅 \(5\times10^{-2}m\)
551	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	16. \(x_0=3\lambda/8\) 固定端反射波方程
552	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	17. \(n=1.33,\lambda=600nm\) 薄膜反射加强最小厚度 \(112.8nm\)
553	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	18. \(30^\circ\) 完全偏振，玻璃折射率 \(\sqrt3\)
554	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已写入最概然速率题	19. 由质量、体积、压强求最概然速率
555	【包打听分享】2015-2016大学物理期末试卷.pdf	blank	8	重复跳过	2013-2014 第二学期 A 卷；已写入 He/O2 单位体积内能比较	20. 同压氦气和氧气单位体积内能比较
556	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	8	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	21. 两大小不同定滑轮系统求角加速度和绳张力
557	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	9	重复/同类跳过	2013-2014 第二学期 A 卷；已有等压/等体升温热量功题同类	22. 氮气 \(p_1,V_1,T_1\) 加热到 \(T_2\)，比较等压、等体热量和功
558	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	9	重复跳过	2013-2014 第二学期 A 卷；已在 2013 A 卷台账记录	23. 沿 \(-x\) 传播平面波，给 \(t=2s\) 波形和 \(u\)，求 \(\omega\)、\(O\) 点振动和波函数
559	【包打听分享】2015-2016大学物理期末试卷.pdf	calculation	9	重复跳过	2013-2014 第二学期 A 卷；已有两波长第二次重合光栅题	24. \(\lambda_1=440nm,\lambda_2=660nm\) 光栅谱线第二次重合于 \(60^\circ\)，求 \(d\)
560	【包打听分享】2016大学物理.pdf	duplicate	1-9	重复文件跳过	SHA256 与【包打听分享】2015-2016大学物理期末试卷.pdf 完全一致	同一历年题拼页 PDF；正文和台账不再重复展开
561	【包打听分享】2019级大学物理(上)期末考试复习纲要（3学分）.pdf	review	1	跳过	复习纲要；仅知识点清单和计算题可能覆盖范围，无完整独立题干	2019 级大学物理上 3 学分复习纲要
562	【包打听分享】2019级大学物理(上)期末考试复习纲要（4学分）.pdf	review	1	跳过	复习纲要；仅知识点清单和计算题可能覆盖范围，无完整独立题干	2019 级大学物理上 4 学分复习纲要
563	【华工包打听】2014级大学物理1期末复习纲要（3学分）.pdf	review	1	跳过	复习纲要；仅考试范围与重要规律，无完整独立题干	2014 级大学物理 1 期末复习纲要 3 学分
564	【华工包打听】2014级大学物理1期末复习纲要（4学分）.pdf	review	1	跳过	复习纲要；仅考试范围与重要规律，无完整独立题干	2014 级大学物理 1 期末复习纲要 4 学分
565	【华工包打听】2016级大学物理(上)期末考试复习纲要（4学分）.pdf	review	1	跳过	复习纲要；仅考试范围与知识点清单，无完整独立题干	2016 级大学物理上期末复习纲要 4 学分
566	【包打听分享】大学物理 课程总结.pdf	course-summary	1-52	跳过	课程总结课件；文本与抽页均为目录、知识点、公式和图示，无完整独立题干	大学物理课程总结
567	【包打听分享】大学物理 课程总结(1).pdf	duplicate	1-52	重复文件跳过	SHA256 与【包打听分享】大学物理 课程总结.pdf 完全一致	重复课程总结课件
568	【包打听分享】大学物理第二学期公式集.pdf	formula	1-7	跳过	公式集；内容为电磁学、振动波动、光学、现代物理公式和概念图示，无完整独立题干	大学物理第二学期公式集
569	【包打听分享】大学物理第二学期公式集(1).pdf	duplicate	1-7	重复文件跳过	SHA256 与【包打听分享】大学物理第二学期公式集.pdf 完全一致	重复公式集
570	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1	已写入并复核	质点运动学；无答案页；本轮人工核对 page-1 题面并独立验算 \(v=3-15t^2,a=-30t\)，题面括号残留答案不采纳	1. \(x=3t-5t^3+6\)，判断变加速且 \(t>0\) 加速度沿负方向
571	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1	已写入并复核	质点动力学基础；无答案页；本轮人工核对 page-1 图示与题面，升降机系中 \(g_{\rm eff}=3g/2\)，得 \(T=3mg/4\)	2. 升降机以 \(g/2\) 向上加速，等质量 \(A,B\) 连接，求绳张力 \(3mg/4\)
572	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1	重复跳过	三大守恒定律；已写入 2004 椭圆轨道远近点角动量和动能比较	3. 卫星远地点/近地点比较 \(L_A,L_B,E_{KA},E_{KB}\)
573	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1	重复跳过	气体动理论；已有 \(\overline{v_x^2}=kT/m\) 与各向同性说明	4. 理想气体分子速度 \(x\) 分量平方平均值
574	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1	重复/同类跳过	气体动理论；已有 Maxwell 分布与不同分子最概然速率比较题	5. 同温氧气和氢气速率分布曲线及最概然速率比
575	【华工包打听】2010大学物理（上）模拟题.pdf	choice	1-2	重复跳过	机械振动；已有由速度-时间图像读初相同题	6. 由 \(v-t\) 图判断简谐振动初相
576	【华工包打听】2010大学物理（上）模拟题.pdf	choice	2	已写入并复核	机械波；无答案页；本轮人工核对 page-2 图示，裁图 image/pdf-exercises/pdf2010-mock-q07-wave-velocity.png；\(P\) 在下降段且波沿 \(+x\)，由 \(v_y=-u\,\partial y/\partial x\) 得初速 \(+\omega A\)，选 A	7. 沿 \(+x\) 传播简谐波，给 \(t=0\) 波形和周期，选 \(P\) 点速度曲线
577	【华工包打听】2010大学物理（上）模拟题.pdf	choice	2	重复跳过	光的干涉；已有空气劈尖缺陷凸凹和深度判断题	8. 空气劈尖条纹弯曲判断工件表面缺陷
578	【华工包打听】2010大学物理（上）模拟题.pdf	choice	2	重复跳过	光的干涉；与 2007 洛埃镜/高折射率反射面使原明纹变暗同题	9. 双缝明纹遮一缝并加高折射率反射面后判断明暗
579	【华工包打听】2010大学物理（上）模拟题.pdf	choice	2	重复/同类跳过	光的偏振；已有两偏振片马吕斯定律题	10. 自然光过两偏振片且夹角 \(60^\circ\)，透射强度 \(I_0/8\)
580	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	重复/同类跳过	质点运动学；已有切向/法向加速度和圆周运动同类题	11. 质点从静止沿半径 \(R=3m\) 圆周运动，\(a_t=3m/s^2\)，求时间和路程
581	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	重复跳过	三大守恒定律；已有 \(F=(4+5x)\vec i\) 从 \(x=0\) 到 \(10m\) 做功同题	12. 变力沿 \(x\) 轴做功 \(290J\)
582	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	已写入并复核	三大守恒定律；无答案页；本轮人工核对 page-3 题面，独立确认末态人对地速度为 \(V+v\)，方程 \((M+m)v_0=MV+m(V+v)\)	13. 运动小车上人以相对车速度 \(v\) 向前走，写动量守恒并求车速
583	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	重复/同类跳过	热力学第一定律；已有 \(p\)-\(V\) 图判断 \(Q,\Delta E\) 同类题	14. 理想气体沿 \(a\to b\to c\) 过程，判断 \(Q\) 和 \(\Delta E\) 符号
584	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	已写入并复核	热力学第一定律；无答案页；本轮人工核对 page-3 题面，独立验算 \(T_1=300K,T_2=200K,n=10mol,\eta=1/3,A\approx8.31\times10^3J\)	15. 290 g 空气卡诺热机，\(27^\circ C/-73^\circ C\)，体积比 \(2.718\)，求效率和功
585	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	重复/同类跳过	机械波；已有平面简谐波相位差与波程差公式讲解	16. \(y=A\cos(Dt-Ex)\)，求传播方向上相距 \(a\) 两点相位差
586	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3	重复/同类跳过	机械振动；已有同方向简谐振动合成图像题	17. 两同方向简谐振动曲线求合振幅和合振动方程
587	【华工包打听】2010大学物理（上）模拟题.pdf	blank	3-4	已写入并复核	光的干涉；无答案页；本轮人工核对 page-3/4 图示，已修正文中自绘入射方向并按源图定号为 \(\Delta\phi_{12}=2\pi[(n_1-n_2)e-d\sin\theta]/\lambda\)	18. 双缝各覆 \(n_1,n_2\) 膜且斜入射，求中央 \(O\) 相位差
588	【华工包打听】2010大学物理（上）模拟题.pdf	blank	4	重复/同类跳过	光的衍射；已有单缝中央明纹边缘与暗纹条件同类题	19. 单缝宽为 \(2\lambda\)，求中央明纹边缘衍射角
589	【华工包打听】2010大学物理（上）模拟题.pdf	blank	4	重复/同类跳过	光的偏振；已有布儒斯特角与折射角/折射率题	20. 自然光 \(60^\circ\) 入射玻璃，反射光完全偏振，求折射角和折射率
590	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	4	已写入并复核	刚体力学；无答案页；本轮人工核对 page-4 题面，独立验算 \(S=at^2/2\) 与 \(mg-T=ma,Tr=J\alpha,a=r\alpha\)，得 \(J=mr^2(gt^2/(2S)-1)\)	21. 质量 \(m\) 下落 \(S\) 用时 \(t\)，绳绕半径 \(r\) 轮轴，求转动惯量
591	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	4	重复跳过	热力学第一定律；正文已有 1 mol 氮气等压膨胀、等体升压、等温膨胀同题	22. 氮气三段过程求全部过程作功、吸热和内能变化
592	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	4	已写入并复核	机械波；无答案页；本轮人工核对 page-4 并高分辨率裁图 image/pdf-exercises/pdf2010-mock-q23-two-waveforms.png；读得 \(\lambda=160m\)、2s 右移 20m，故 \(u=10m/s,\omega=\pi/8,k=\pi/80,\varphi_0=\pi/4\)	23. 两时刻平面余弦波波形图，求 \(O\) 点振动方程和波函数
593	【华工包打听】2010大学物理（上）模拟题.pdf	calculation	5	重复跳过	光的衍射；已有光栅二级 \(30^\circ\)、第三级缺级求 \(d,a\) 和级次同题	24. \(\lambda=600nm\) 光栅第二级 \(30^\circ\) 且第三级缺级
